UserID,Username,Diet,ConversationID
Ueef028c-7699-40a7-86d9-07de1c5858b2,JoeBiden,Vegetarian,c9f9b0bb-9e0e-442f-a2f2-d76526dd8e7f
Uddca523-6f9b-4eae-b50e-17226f7c5dd1,CheetoMan,Vegan,c2f5aeb8-a4b3-4056-b5fa-87e4881a0702
Udb472f3-2b68-4753-b993-cc465b49b973,rkatkar1,None,c431dc5b-9f4a-4da8-afac-fecb36f20dbc
Ub6dd10f-f31b-4d1d-b900-c6ad5a1ebb1c,mdoan4,None,c313b318-67be-41e1-89c2-e8339eff52c7
U1a839d7-6469-4a64-bb0c-b82f6ebbf885,asosa7,None,c1512331-052e-4813-85da-9dc3a3622e4a
Ub28f322-1ba9-4bf5-9983-a453be747ea8,jnguyen89,None,ccae107a-eb4b-4260-9497-d3ee1d38497f
U96d9505-dd28-4340-8030-ff323e7f75c6,rrathore1,None,cd8df379-86e6-4e64-aa00-5afe6339cfa6
Ua4092b0-bb61-4bce-9088-cfe58c5d3912,JohnDoe,Paleo,cd8dfbeb-1d22-4d5b-816a-2574f8c2211d
U0fcba9b-4eda-43c7-a944-9b80e1346f62,JaneDoe,Keto,c4f3e462-9c66-4e52-9115-a683ddda56b4
U63138dd-e6c3-44c6-bf31-f82bcb17f2dd,Joemomma,Pescatarian,c2610eb3-9c48-4c5c-8853-a2aad56c5424
Ufad8681-cf74-4eca-baa5-6b2ce0d735af,Wendeez,Keto,cefe9494-b6af-4897-bdc0-9f1472ac28e5
U109b9de-993a-40f0-8165-3ba50c3fb988,wjohnson,Vegan,c307b957-b922-49e1-8b1f-3737ae7d4521
U4b6ec10-cdd5-4b4b-bd18-8cf67c3e4ae8,food4life,Keto,ccc1b076-3b81-4a8b-8d54-81729fbf1ddc
U6328e4a-4477-4273-b299-8630ee657439,ihatemeat,Vegetarian,c0c65d10-e97d-438e-8e1b-d0610d5ce6d3
Ud9cc853-43f1-4de6-8f23-54b6d51645bc,ilikemeat,Vegan,c64cc945-f180-4853-a4db-1be4ad224ad6
U27a0148-2e94-44ee-a0d4-c8e35121b009,PixelPioneer,Paleo,cbb45730-1d50-4dea-9588-b7a3c60e8a25
U3fd04ba-babf-4b86-94c2-f110dfae5f14,CosmicWanderer,None,ce8b0f74-3e52-48a0-809a-b79ab67e6300
Udd4eded-fed0-4dce-86a4-edc0e6d7b6ea,MysticMeadow,Vegetarian,c6d68dbd-6aed-4861-98a6-d6362c7cf6cc
Ub7e7625-7ce3-409b-a2e0-b72870061c67,EchoSage,Vegan,c4fa041d-8256-4d91-a593-8ac99b9933ab
Ua3acb4c-b35f-4faf-95f8-0513bcbc5490,ikindalikemeat,None,ca1c621d-c857-4323-9e3d-b988b72c469b
